train_loss val_loss train_metric val_metric
9.00022709825209488166e-02 8.94679758677883879558e-02 1.38333333333333335924e-01 1.66666666666666657415e-01
9.00136616070228434694e-02 8.97501068676385682643e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00234607574846162903e-02 8.94412396755311644991e-02 1.18333333333333332038e-01 1.66666666666666657415e-01
9.00430897724422141248e-02 8.92952318864200511594e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00422351053896813378e-02 8.93768412096293263236e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00048481827055296689e-02 8.94712939441783539074e-02 1.25000000000000000000e-01 1.66666666666666657415e-01
9.00428144752405401618e-02 8.95305840925025298027e-02 1.26666666666666677399e-01 1.66666666666666657415e-01
9.00452115364864802416e-02 8.94511136929746764057e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00333186758797282545e-02 8.93890907778104731873e-02 1.30000000000000004441e-01 1.66666666666666657415e-01
9.00473392002673622692e-02 8.94077801292063878424e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00183571383915415165e-02 8.94283226836877498389e-02 1.28333333333333327042e-01 1.66666666666666657415e-01
9.00296419224406174742e-02 8.95099755876560404522e-02 1.30000000000000004441e-01 1.66666666666666657415e-01
9.00193763854601480823e-02 8.95460133725242413139e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00248797055973049019e-02 8.96073226583323501071e-02 1.31666666666666654084e-01 1.00000000000000005551e-01
9.00546941079591739543e-02 8.96670374341087955683e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00375434927719181522e-02 8.93285198927677159819e-02 1.19999999999999995559e-01 1.66666666666666657415e-01
9.00189511257200453143e-02 8.93224290945924676022e-02 1.33333333333333331483e-01 1.66666666666666657415e-01
9.00428785861721037165e-02 8.95900622623273384937e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00356604045491892840e-02 8.94409496539093074041e-02 1.25000000000000000000e-01 1.66666666666666657415e-01
9.00185349306599352781e-02 8.93945106411446199779e-02 1.30000000000000004441e-01 1.00000000000000005551e-01
9.00400410709089049632e-02 8.97029771881000803635e-02 1.33333333333333331483e-01 1.66666666666666657415e-01
9.00368130328777077631e-02 8.94454674884690159598e-02 1.26666666666666677399e-01 1.66666666666666657415e-01
9.00149786377071325916e-02 8.95353571114786556118e-02 1.28333333333333327042e-01 1.66666666666666657415e-01
9.00136090039096031790e-02 8.96487493730175610818e-02 1.31666666666666654084e-01 1.00000000000000005551e-01
9.00277119741556691723e-02 8.94064055947893371323e-02 1.30000000000000004441e-01 1.66666666666666657415e-01
9.00311573122106051370e-02 8.95246641464104153663e-02 1.30000000000000004441e-01 1.66666666666666657415e-01
9.00122281993891715235e-02 8.95419474919599694962e-02 1.30000000000000004441e-01 1.66666666666666657415e-01
9.00480939933038238010e-02 8.94375981785950069369e-02 1.30000000000000004441e-01 1.66666666666666657415e-01
9.00357599191426716256e-02 8.95593874415999968708e-02 1.28333333333333327042e-01 1.66666666666666657415e-01
9.00123639118455831643e-02 8.96364370943324995089e-02 1.30000000000000004441e-01 1.66666666666666657415e-01
9.00357311749204747287e-02 8.96591960828339862299e-02 1.19999999999999995559e-01 1.66666666666666657415e-01
9.00155890361389460219e-02 8.96457059509950249243e-02 1.28333333333333327042e-01 1.66666666666666657415e-01
9.00573120260189929898e-02 8.96797889561372074674e-02 1.25000000000000000000e-01 1.66666666666666657415e-01
9.00411264226037011404e-02 8.93491266265152156434e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00308152095382896452e-02 8.94313495850465045578e-02 1.21666666666666672958e-01 1.66666666666666657415e-01
9.00418193269997696460e-02 8.94498831443096970029e-02 1.31666666666666654084e-01 1.66666666666666657415e-01
9.00027640430932640569e-02 8.94561527336742989824e-02 1.23333333333333336479e-01 1.66666666666666657415e-01
